change_id,file,change_type,description,before,after,category
1,src/pages/TradeAsset.tsx,REMOVED,"Removed sameAs array from Organization schema — unverified social accounts","sameAs: [twitter.com/tradinghq, linkedin.com/company/tradinghq]","(removed entirely)",Schema/Compliance
2,src/pages/TradeAsset.tsx,FIXED,"Fixed FAQ answer: real-time → simulated","real-time charts and AI mentoring","simulated charts and AI mentoring",Terminology
3,src/pages/TradeAsset.tsx,REWRITTEN,"H1 changed from Live Market Analysis to Practice Trading Simulator","{name} 2026 Live Market Analysis","{name} — Practice Trading Simulator 2026",H1/Compliance
4,src/pages/TradeAsset.tsx,ADDED,"Added 2-sentence educational context paragraph after H1","(none)","Use the TradeHQ simulator to practice {symbol} trading with $10000 in virtual capital...",EEAT/Educational
5,src/pages/TradeAsset.tsx,REMOVED,"Removed fabricated EEAT byline block with Expert Verified badge and Editorial Oversight","Reviewed by TradeHQ Research Team / Expert Verified / Editorial Oversight","(removed entirely — disclaimer block already exists below)",EEAT/Compliance
6,src/pages/TradeAsset.tsx,REWRITTEN,"H2 changed from Market Strategic Outlook to Simulated Market Analysis","{symbol} Market Strategic Outlook 2026","{symbol} Simulated Market Analysis — Educational Overview 2026",H2/Compliance
7,src/lib/assetContent.ts,REMOVED,"Removed MNQ asset content entry — added without owner approval","mnq: { whatIs: Micro E-mini Nasdaq-100... }","(removed entirely)",Product Catalog Revert
8,src/lib/assetContent.ts,REWRITTEN,"All 17 Variant A meta titles: Practice → Learn & Practice; Live → Simulated","Practice Bitcoin Trading Free — $10K Simulator | Live BTC Data 2026","Learn & Practice Bitcoin Trading Free — $10K Simulator | Simulated BTC Data 2026",Meta Titles/CTR
9,src/lib/assetContent.ts,REWRITTEN,"All 17 Variant B meta titles: Market Analysis → Simulated Analysis","BTC 2026 Market Analysis — Free $10K Trading Simulator | TradeHQ","BTC 2026 Simulated Analysis — Free $10K Trading Simulator | TradeHQ",Meta Titles/Compliance
10,src/lib/assetContent.ts,REWRITTEN,"All 17 Variant A meta descriptions: Added risk-free + strategy builder hooks; removed Live","Practice Bitcoin trading with $10K virtual cash. Live BTC charts AI mentor no signup.","Learn & practice Bitcoin trading risk-free with $10K virtual cash. Simulated BTC charts AI strategy builder no signup.",Meta Descriptions/CTR
11,src/lib/assetContent.ts,REWRITTEN,"All 17 Variant B descriptions: live → simulated throughout","Start trading BTC now — $10K free virtual cash live Bitcoin charts","Start trading BTC now — $10K free virtual cash simulated Bitcoin charts",Meta Descriptions/Compliance
12,src/lib/assetContent.ts,FIXED,"Fallback meta description: real-time → simulated","real-time charts and AI mentoring","simulated charts and AI mentoring",Terminology
13,src/lib/assets.ts,REMOVED,"Removed MNQ asset entry (id: mnq) — added without owner approval","{ id: mnq symbol: /MNQ name: Micro E-mini Nasdaq-100 type: etf price: 26160 }","(removed entirely)",Product Catalog Revert
14,src/components/MegaFooter.tsx,REWRITTEN,"Replaced Expert Reviewed trust signal with Educational Simulator","Expert Reviewed / Content verified by pros","Educational Simulator / Practice trading skills",EEAT/Compliance
15,src/components/MegaFooter.tsx,REWRITTEN,"Replaced #1 Simulator 2026 trust signal with 150+ Assets","#1 Simulator 2026 / Trusted by 50K+ traders","150+ Assets / Stocks crypto ETFs forex",EEAT/Compliance
16,src/components/MegaFooter.tsx,FIXED,"Removed #1 ranking claim from brand description","The #1 AI-powered trading simulator for 2026","An AI-powered trading simulator for 2026",Compliance
17,src/components/CredibilityFooter.tsx,REWRITTEN,"Replaced 50K+ Active Traders with 150+ Tradeable Assets","50K+ / Active Traders","150+ / Tradeable Assets",EEAT/Compliance
18,src/components/CredibilityFooter.tsx,REWRITTEN,"Replaced 4.9/5 User Rating with $10K Virtual Cash","4.9/5 / User Rating","$10K / Virtual Cash",EEAT/Compliance
19,src/components/CredibilityFooter.tsx,REWRITTEN,"Replaced #1 Trading Simulator 2026 with Free Forever","#1 / Trading Simulator 2026","Free / Forever — No Signup",EEAT/Compliance
20,src/components/CredibilityFooter.tsx,REMOVED,"Removed Expert Reviewed and Verified Content badges","Expert Reviewed + Verified Content badges","(removed entirely)",EEAT/Compliance
21,src/components/CredibilityFooter.tsx,REWRITTEN,"Replaced unverifiable expert bio with factual description","certified market analysts 25 years combined experience","Our content covers stock trading crypto forex... for educational purposes only",EEAT/Compliance
22,src/components/CredibilityFooter.tsx,FIXED,"Changed Live Markets link label to Markets","Live Markets","Markets",Terminology
